,State,Year,Deaths,Pop,Percent
165,Illinois,2014,1561,12882189,0.000121175
166,Illinois,2015,1703,12859995,0.000132426
167,Indiana,1999,124,6044969,2.05129E-05
168,Indiana,2000,149,6080485,2.45046E-05
169,Indiana,2001,169,6127760,2.75794E-05
170,Indiana,2002,174,6155967,2.82653E-05
171,Indiana,2003,275,6196638,4.43789E-05
172,Indiana,2004,344,6233007,5.51901E-05
173,Indiana,2005,397,6278616,6.32305E-05
174,Indiana,2006,475,6332669,7.50079E-05
175,Indiana,2007,560,6379599,8.77798E-05
176,Indiana,2008,593,6424806,9.22985E-05
177,Indiana,2009,790,6459325,0.000122304
178,Indiana,2010,713,6483802,0.000109966
179,Indiana,2011,808,6516845,0.000123986
180,Indiana,2012,837,6538283,0.000128015
181,Indiana,2013,919,6570518,0.000139867
182,Indiana,2014,1040,6597880,0.000157626
183,Indiana,2015,1151,6619680,0.000173875
184,Michigan,1999,293,9897116,2.96046E-05
185,Michigan,2000,316,9938444,3.17957E-05
186,Michigan,2001,346,9991120,3.46308E-05
187,Michigan,2002,435,10015710,4.34318E-05
188,Michigan,2003,423,10041152,4.21266E-05
189,Michigan,2004,527,10055315,5.24101E-05
190,Michigan,2005,685,10051137,6.81515E-05
191,Michigan,2006,857,10036081,8.53919E-05
192,Michigan,2007,922,10001284,9.21882E-05
193,Michigan,2008,949,9946889,9.54067E-05
194,Michigan,2009,1091,9901591,0.000110184
195,Michigan,2010,1060,9883640,0.000107248
196,Michigan,2011,1115,9876589,0.000112893
197,Michigan,2012,1039,9886879,0.000105089
198,Michigan,2013,1305,9900506,0.000131811
199,Michigan,2014,1447,9916306,0.000145921
200,Michigan,2015,1696,9922576,0.000170923
201,Ohio,1999,360,11335454,3.17588E-05
202,Ohio,2000,443,11353140,3.902E-05
203,Ohio,2001,599,11387404,5.2602E-05
204,Ohio,2002,755,11407889,6.61823E-05
205,Ohio,2003,650,11434788,5.68441E-05
206,Ohio,2004,961,11452251,8.39136E-05
207,Ohio,2005,1063,11463320,9.27306E-05
208,Ohio,2006,1318,11481213,0.000114796
209,Ohio,2007,1473,11500468,0.000128082
210,Ohio,2008,1576,11515391,0.00013686
211,Ohio,2009,1094,11528896,9.4892E-05
212,Ohio,2010,1678,11536504,0.000145451
213,Ohio,2011,1882,11545442,0.000163008
214,Ohio,2012,2011,11551783,0.000174086
215,Ohio,2013,2192,11572232,0.000189419
216,Ohio,2014,2640,11596998,0.000227645
217,Ohio,2015,3171,11613423,0.000273046
218,Wisconsin,1999,141,5332666,2.64408E-05
219,Wisconsin,2000,189,5363675,3.5237E-05
220,Wisconsin,2001,195,5406835,3.60655E-05
221,Wisconsin,2002,271,5445162,4.9769E-05
222,Wisconsin,2003,298,5479203,5.43875E-05
223,Wisconsin,2004,320,5514026,5.80338E-05
224,Wisconsin,2005,399,5546166,7.19416E-05
225,Wisconsin,2006,461,5577655,8.26512E-05
226,Wisconsin,2007,538,5610775,9.58869E-05
227,Wisconsin,2008,491,5640996,8.70414E-05
228,Wisconsin,2009,516,5669264,9.10171E-05
229,Wisconsin,2010,511,5686986,8.98543E-05
230,Wisconsin,2011,594,5709720,0.000104033
231,Wisconsin,2012,610,5726422,0.000106524
232,Wisconsin,2013,764,5743653,0.000133016
233,Wisconsin,2014,761,5759432,0.000132131
234,Wisconsin,2015,785,5771337,0.000136017
235,Iowa,1999,38,2917634,1.30243E-05
236,Iowa,2000,55,2926324,1.87949E-05
237,Iowa,2001,56,2931997,1.90996E-05
238,Iowa,2002,68,2934234,2.31747E-05
239,Iowa,2003,81,2941999,2.75323E-05
240,Iowa,2004,71,2953635,2.40382E-05
241,Iowa,2005,102,2964454,3.44077E-05
242,Iowa,2006,125,2982644,4.19091E-05
243,Iowa,2007,141,2999212,4.70123E-05
244,Iowa,2008,162,3016734,5.37005E-05
245,Iowa,2009,169,3032870,5.57228E-05
246,Iowa,2010,205,3046355,6.72935E-05
247,Iowa,2011,201,3065389,6.55708E-05
248,Iowa,2012,220,3076636,7.15067E-05
249,Iowa,2013,262,3092224,8.47287E-05
250,Iowa,2014,253,3109481,8.13641E-05
251,Iowa,2015,286,3123899,9.15523E-05
252,Kansas,1999,67,2678338,2.50155E-05
253,Kansas,2000,76,2688418,2.82694E-05
254,Kansas,2001,111,2702162,4.10782E-05
255,Kansas,2002,118,2713535,4.34857E-05
256,Kansas,2003,126,2723004,4.62724E-05
257,Kansas,2004,165,2734373,6.03429E-05
258,Kansas,2005,179,2745299,6.52024E-05
259,Kansas,2006,187,2762931,6.76817E-05
260,Kansas,2007,197,2783785,7.0767E-05
261,Kansas,2008,196,2808076,6.97987E-05
262,Kansas,2009,260,2832704,9.17851E-05
263,Kansas,2010,217,2853118,7.60571E-05
264,Kansas,2011,238,2869917,8.29292E-05
265,Kansas,2012,269,2886281,9.31995E-05
266,Kansas,2013,300,2894630,0.00010364
267,Kansas,2014,305,2902507,0.000105082
268,Kansas,2015,291,2911641,9.99436E-05
269,Minnesota,1999,102,4873481,2.09296E-05
270,Minnesota,2000,101,4919479,2.05306E-05
271,Minnesota,2001,133,4982796,2.66918E-05
272,Minnesota,2002,167,5018935,3.3274E-05
273,Minnesota,2003,183,5053572,3.6212E-05
274,Minnesota,2004,192,5087713,3.7738E-05
275,Minnesota,2005,205,5119598,4.00422E-05
276,Minnesota,2006,231,5163555,4.47366E-05
277,Minnesota,2007,283,5207203,5.43478E-05
278,Minnesota,2008,335,5247018,6.38458E-05
279,Minnesota,2009,379,5281203,7.1764E-05
280,Minnesota,2010,353,5303925,6.65545E-05
281,Minnesota,2011,477,5348119,8.91902E-05
282,Minnesota,2012,457,5380443,8.49372E-05
283,Minnesota,2013,487,5420541,8.98434E-05
284,Minnesota,2014,490,5457125,8.97909E-05
285,Minnesota,2015,548,5489594,9.98252E-05
286,Missouri,1999,198,5561948,3.5599E-05
287,Missouri,2000,237,5595211,4.23577E-05
288,Missouri,2001,246,5641142,4.36082E-05
289,Missouri,2002,341,5674825,6.009E-05
290,Missouri,2003,414,5709403,7.2512E-05
291,Missouri,2004,450,5747741,7.82916E-05
292,Missouri,2005,493,5790300,8.51424E-05
293,Missouri,2006,618,5842704,0.000105773
294,Missouri,2007,609,5887612,0.000103438
295,Missouri,2008,688,5923916,0.000116139
296,Missouri,2009,762,5961088,0.000127829
297,Missouri,2010,886,5988927,0.00014794
298,Missouri,2011,850,6010587,0.000141417
299,Missouri,2012,834,6025468,0.000138412
300,Missouri,2013,904,6043708,0.000149577
301,Missouri,2014,959,6063827,0.000158151
302,Missouri,2015,933,6083672,0.000153361
303,Nebraska,1999,33,1704764,1.93575E-05
304,Nebraska,2000,40,1711263,2.33745E-05
305,Nebraska,2001,39,1719836,2.26766E-05
306,Nebraska,2002,36,1728292,2.08298E-05
307,Nebraska,2003,35,1738643,2.01306E-05
308,Nebraska,2004,46,1749370,2.62952E-05
309,Nebraska,2005,51,1761497,2.89526E-05
310,Nebraska,2006,67,1772693,3.77956E-05
311,Nebraska,2007,68,1783440,3.81286E-05
312,Nebraska,2008,98,1796378,5.45542E-05
313,Nebraska,2009,99,1812683,5.46152E-05
314,Nebraska,2010,102,1826341,5.58494E-05
315,Nebraska,2011,113,1842383,6.13336E-05
316,Nebraska,2012,132,1855973,7.11217E-05
317,Nebraska,2013,108,1869300,5.77756E-05
318,Nebraska,2014,113,1882980,6.00113E-05
319,Nebraska,2015,124,1896190,6.53943E-05
320,North Dakota,2000,13,642200,2.02429E-05
321,North Dakota,2002,14,638168,2.19378E-05
322,North Dakota,2003,16,638817,2.50463E-05
323,North Dakota,2004,20,644705,3.10219E-05
324,North Dakota,2005,13,646089,2.01211E-05
325,North Dakota,2006,10,649422,1.53983E-05
326,North Dakota,2007,28,652822,4.28907E-05
327,North Dakota,2008,46,657569,6.99546E-05
328,North Dakota,2009,38,664968,5.71456E-05
329,North Dakota,2010,26,672591,3.86565E-05
330,North Dakota,2011,17,685326,2.48057E-05
331,North Dakota,2012,20,702265,2.84793E-05
332,North Dakota,2013,19,723626,2.62567E-05
333,North Dakota,2014,48,740040,6.48614E-05
334,North Dakota,2015,62,756927,8.19101E-05
335,South Dakota,1999,14,750412,1.86564E-05
336,South Dakota,2000,11,754844,1.45725E-05
337,South Dakota,2002,17,760020,2.23678E-05
338,South Dakota,2003,15,763729,1.96405E-05
339,South Dakota,2004,32,770396,4.15371E-05
340,South Dakota,2005,24,775493,3.09481E-05
341,South Dakota,2006,29,783033,3.70355E-05
342,South Dakota,2007,24,791623,3.03175E-05
343,South Dakota,2008,41,799124,5.13062E-05
344,South Dakota,2009,35,807067,4.33669E-05
345,South Dakota,2010,31,814180,3.80751E-05
346,South Dakota,2011,54,824289,6.5511E-05
347,South Dakota,2012,43,834631,5.15198E-05
348,South Dakota,2013,48,845270,5.67866E-05
349,South Dakota,2014,57,853304,6.67992E-05
350,South Dakota,2015,57,858469,6.63973E-05
351,Delaware,1999,47,774990,6.06459E-05
352,Delaware,2000,44,783600,5.61511E-05
353,Delaware,2001,41,795699,5.1527E-05
354,Delaware,2002,68,806169,8.43496E-05
355,Delaware,2003,61,818003,7.45719E-05
356,Delaware,2004,44,830803,5.29608E-05
357,Delaware,2005,50,845150,5.91611E-05
358,Delaware,2006,64,859268,7.4482E-05
359,Delaware,2007,73,871749,8.37397E-05
360,Delaware,2008,110,883874,0.000124452
361,Delaware,2009,108,891730,0.000121113
362,Delaware,2010,125,897934,0.000139208
363,Delaware,2011,128,907916,0.000140982
364,Delaware,2012,121,917099,0.000131938
365,Delaware,2013,150,925353,0.0001621
366,Delaware,2014,155,935968,0.000165604
367,Delaware,2015,177,945934,0.000187117
368,District of Columbia,1999,50,570213,8.76865E-05
369,District of Columbia,2000,71,572059,0.000124113
370,District of Columbia,2001,88,574504,0.000153176
371,District of Columbia,2002,57,573158,9.9449E-05
372,District of Columbia,2003,90,568502,0.000158311
373,District of Columbia,2004,73,567754,0.000128577
374,District of Columbia,2005,56,567136,9.87417E-05
375,District of Columbia,2006,87,570681,0.000152449
376,District of Columbia,2007,38,574404,6.61555E-05
377,District of Columbia,2008,44,580236,7.58312E-05
378,District of Columbia,2009,17,592228,2.87052E-05
379,District of Columbia,2010,72,601723,0.000119656
380,District of Columbia,2011,70,620472,0.000112817
381,District of Columbia,2012,66,635342,0.000103881
382,District of Columbia,2013,83,649540,0.000127783
383,District of Columbia,2014,91,659836,0.000137913
384,District of Columbia,2015,128,672228,0.000190412
385,Florida,1999,728,15759421,4.61946E-05
386,Florida,2000,860,15982378,5.38093E-05
387,Florida,2001,1347,16356966,8.23502E-05
388,Florida,2002,1534,16689370,9.19148E-05
389,Florida,2003,1734,17004085,0.000101975
390,Florida,2004,1851,17415318,0.000106286
391,Florida,2005,1999,17842038,0.000112039
392,Florida,2006,2163,18166990,0.000119062
393,Florida,2007,2446,18367842,0.000133168
394,Florida,2008,2571,18527305,0.000138768
395,Florida,2009,2651,18652644,0.000142125
396,Florida,2010,2693,18801310,0.000143235
397,Florida,2011,2562,19105533,0.000134097
398,Florida,2012,2215,19352021,0.000114458
399,Florida,2013,2134,19594467,0.000108908
400,Florida,2014,2342,19905569,0.000117656
401,Florida,2015,2938,20271272,0.000144934
402,Georgia,1999,256,8045965,3.18172E-05
403,Georgia,2000,301,8186453,3.67681E-05
404,Georgia,2001,437,8377038,5.21664E-05
405,Georgia,2002,493,8508256,5.79437E-05
406,Georgia,2003,537,8622793,6.22768E-05
407,Georgia,2004,584,8769252,6.65963E-05
408,Georgia,2005,666,8925922,7.46141E-05
409,Georgia,2006,748,9155813,8.16967E-05
410,Georgia,2007,857,9349988,9.16579E-05
411,Georgia,2008,860,9504843,9.04802E-05
412,Georgia,2009,944,9620846,9.81203E-05
413,Georgia,2010,974,9687653,0.00010054
414,Georgia,2011,1000,9812280,0.000101913
415,Georgia,2012,986,9917639,9.94188E-05
416,Georgia,2013,1011,9991562,0.000101185
417,Georgia,2014,1097,10097132,0.000108645
418,Georgia,2015,1222,10214860,0.00011963
419,Maryland,1999,43,5254509,8.18345E-06
420,Maryland,2000,52,5296486,9.81783E-06
421,Maryland,2001,62,5374691,1.15355E-05
422,Maryland,2002,47,5440389,8.63909E-06
423,Maryland,2003,88,5496269,1.60109E-05
424,Maryland,2004,41,5546935,7.39147E-06
425,Maryland,2005,54,5592379,9.656E-06
426,Maryland,2006,53,5627367,9.41826E-06
427,Maryland,2007,49,5653408,8.66734E-06
428,Maryland,2008,73,5684965,1.28409E-05
429,Maryland,2009,88,5730388,1.53567E-05
430,Maryland,2010,121,5773552,2.09576E-05
431,Maryland,2011,167,5844171,2.85755E-05
432,Maryland,2012,234,5890740,3.97234E-05
433,Maryland,2013,293,5936040,4.93595E-05
434,Maryland,2014,281,5975346,4.70266E-05
435,Maryland,2015,397,6006401,6.60962E-05
436,North Carolina,1999,283,7949361,3.56003E-05
437,North Carolina,2000,381,8049313,4.73332E-05
438,North Carolina,2001,450,8210122,5.48104E-05
439,North Carolina,2002,560,8326201,6.72576E-05
440,North Carolina,2003,698,8422501,8.28732E-05
441,North Carolina,2004,733,8553152,8.56994E-05
442,North Carolina,2005,877,8705407,0.000100742
443,North Carolina,2006,914,8917270,0.000102498
444,North Carolina,2007,914,9118037,0.000100241
445,North Carolina,2008,1034,9309449,0.00011107
446,North Carolina,2009,1060,9449566,0.000112174
447,North Carolina,2010,965,9535483,0.000101201
448,North Carolina,2011,1177,9651025,0.000121956
449,North Carolina,2012,1136,9747021,0.000116548
450,North Carolina,2013,1129,9845432,0.000114672
451,North Carolina,2014,1229,9940387,0.000123637
452,North Carolina,2015,1432,10042802,0.00014259
453,South Carolina,1999,129,3974682,3.24554E-05
454,South Carolina,2000,207,4012012,5.15951E-05
455,South Carolina,2001,213,4064995,5.23986E-05
456,South Carolina,2002,204,4107795,4.96617E-05
457,South Carolina,2003,265,4150297,6.38509E-05
458,South Carolina,2004,320,4210921,7.59929E-05
459,South Carolina,2005,401,4270150,9.39077E-05
460,South Carolina,2006,493,4357847,0.000113129
461,South Carolina,2007,481,4444110,0.000108233
462,South Carolina,2008,514,4528996,0.000113491
463,South Carolina,2009,579,4589872,0.000126147
464,South Carolina,2010,613,4625364,0.00013253
465,South Carolina,2011,565,4672733,0.000120914
466,South Carolina,2012,532,4721341,0.00011268
467,South Carolina,2013,583,4768498,0.000122261
468,South Carolina,2014,654,4829160,0.000135427
469,South Carolina,2015,713,4896146,0.000145625
470,Virginia,1999,280,7000174,3.9999E-05
471,Virginia,2000,312,7078515,4.4077E-05
472,Virginia,2001,343,7198362,4.76497E-05
473,Virginia,2002,442,7286873,6.0657E-05
474,Virginia,2003,469,7366977,6.36625E-05
475,Virginia,2004,478,7475575,6.39416E-05
476,Virginia,2005,485,7577105,6.40086E-05
477,Virginia,2006,508,7673725,6.61999E-05
478,Virginia,2007,562,7751000,7.25068E-05
479,Virginia,2008,615,7833496,7.8509E-05
480,Virginia,2009,575,7925937,7.25466E-05
481,Virginia,2010,483,8001024,6.03673E-05
482,Virginia,2011,679,8110783,8.37157E-05
483,Virginia,2012,619,8193374,7.55489E-05
484,Virginia,2013,742,8267875,8.97449E-05
485,Virginia,2014,824,8328098,9.89422E-05
486,Virginia,2015,945,8382993,0.000112728
487,West Virginia,1999,46,1811799,2.53891E-05
488,West Virginia,2000,61,1808344,3.37325E-05
489,West Virginia,2001,130,1801481,7.21628E-05
490,West Virginia,2002,156,1805414,8.64068E-05
491,West Virginia,2003,238,1812295,0.000131325
492,West Virginia,2004,287,1816438,0.000158002
493,West Virginia,2005,163,1820492,8.95362E-05
494,West Virginia,2006,316,1827912,0.000172875
495,West Virginia,2007,360,1834052,0.000196287
496,West Virginia,2008,418,1840310,0.000227136
497,West Virginia,2009,198,1847775,0.000107156
498,West Virginia,2010,471,1852994,0.000254183
499,West Virginia,2011,593,1854948,0.000319686
500,West Virginia,2012,521,1856283,0.000280668
501,West Virginia,2013,548,1852985,0.000295739
502,West Virginia,2014,593,1848751,0.000320757
503,West Virginia,2015,675,1844128,0.000366027
504,Alabama,1999,145,4430141,3.27303E-05
505,Alabama,2000,160,4447100,3.59785E-05
506,Alabama,2001,201,4467634,4.49903E-05
507,Alabama,2002,209,4480089,4.66509E-05
508,Alabama,2003,166,4503491,3.68603E-05
509,Alabama,2004,241,4530729,5.31923E-05
510,Alabama,2005,238,4569805,5.2081E-05
511,Alabama,2006,328,4628981,7.08579E-05
512,Alabama,2007,471,4672840,0.000100795
513,Alabama,2008,536,4718206,0.000113603
514,Alabama,2009,573,4757938,0.00012043
515,Alabama,2010,512,4779736,0.000107119
516,Alabama,2011,531,4801108,0.000110599
517,Alabama,2012,509,4816089,0.000105687
518,Alabama,2013,561,4830533,0.000116136
519,Alabama,2014,678,4846411,0.000139897
520,Alabama,2015,701,4858979,0.000144269
521,Kentucky,1999,174,4018053,4.33046E-05
522,Kentucky,2000,219,4041769,5.41842E-05
523,Kentucky,2001,300,4068132,7.37439E-05
524,Kentucky,2002,371,4089875,9.07118E-05
525,Kentucky,2003,507,4117170,0.000123143
526,Kentucky,2004,471,4146101,0.000113601
527,Kentucky,2005,558,4182742,0.000133405
528,Kentucky,2006,626,4219239,0.000148368
529,Kentucky,2007,640,4256672,0.000150352
530,Kentucky,2008,706,4289878,0.000164573
531,Kentucky,2009,731,4317074,0.000169328
532,Kentucky,2010,950,4339367,0.000218926
533,Kentucky,2011,1023,4367882,0.00023421
534,Kentucky,2012,1017,4382667,0.00023205
535,Kentucky,2013,921,4398500,0.00020939
536,Kentucky,2014,1038,4412617,0.000235235
537,Kentucky,2015,1200,4425092,0.000271181
538,Mississippi,1999,64,2828408,2.26276E-05
539,Mississippi,2000,82,2844658,2.8826E-05
540,Mississippi,2001,119,2852994,4.17106E-05
541,Mississippi,2002,133,2858681,4.6525E-05
542,Mississippi,2003,175,2868312,6.10115E-05
543,Mississippi,2004,190,2889010,6.57665E-05
