County,County Code,Year,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate
"Carroll County, OH",39019,2007,White,2106-3,257,28712,895.1,745.8
"Carroll County, OH",39019,2008,White,2106-3,286,28641,998.6,816.1
"Carroll County, OH",39019,2009,White,2106-3,269,28561,941.8,767.8
"Carroll County, OH",39019,2010,White,2106-3,272,28464,955.6,744.5
"Champaign County, OH",39021,2000,Black or African American,2054-5,13,1073,1211.6 (Unreliable),1015.2 (Unreliable)
"Champaign County, OH",39021,2000,White,2106-3,362,37565,963.7,941.3
"Champaign County, OH",39021,2001,Black or African American,2054-5,16,1077,1485.6 (Unreliable),1357.6 (Unreliable)
"Champaign County, OH",39021,2001,White,2106-3,364,37709,965.3,925.5
"Champaign County, OH",39021,2002,Black or African American,2054-5,11,1105,995.5 (Unreliable),864.1 (Unreliable)
"Champaign County, OH",39021,2002,White,2106-3,363,37903,957.7,910.8
"Champaign County, OH",39021,2003,Black or African American,2054-5,18,1124,1601.4 (Unreliable),1461.0 (Unreliable)
"Champaign County, OH",39021,2003,White,2106-3,389,37985,1024.1,967.8
"Champaign County, OH",39021,2004,Black or African American,2054-5,10,1124,889.7 (Unreliable),894.3 (Unreliable)
"Champaign County, OH",39021,2004,White,2106-3,355,38135,930.9,877.1
"Champaign County, OH",39021,2005,Black or African American,2054-5,10,1163,859.8 (Unreliable),861.2 (Unreliable)
"Champaign County, OH",39021,2005,White,2106-3,376,38111,986.6,939.1
"Champaign County, OH",39021,2006,Black or African American,2054-5,18,1185,1519.0 (Unreliable),1684.4 (Unreliable)
"Champaign County, OH",39021,2006,White,2106-3,376,38496,976.7,906.7
"Champaign County, OH",39021,2007,Black or African American,2054-5,16,1199,1334.4 (Unreliable),1374.8 (Unreliable)
"Champaign County, OH",39021,2007,White,2106-3,377,38587,977,904.3
"Champaign County, OH",39021,2008,Black or African American,2054-5,13,1194,1088.8 (Unreliable),1124.0 (Unreliable)
"Champaign County, OH",39021,2008,White,2106-3,352,38701,909.5,835.9
"Champaign County, OH",39021,2009,Black or African American,2054-5,19,1190,1596.6 (Unreliable),1772.1 (Unreliable)
"Champaign County, OH",39021,2009,White,2106-3,354,38702,914.7,834.1
"Champaign County, OH",39021,2010,White,2106-3,385,38517,999.6,908.8
"Clark County, OH",39023,2000,Black or African American,2054-5,140,13779,1016,1083.3
"Clark County, OH",39023,2000,White,2106-3,1485,129502,1146.7,983.5
"Clark County, OH",39023,2001,Black or African American,2054-5,157,13686,1147.2,1208.6
"Clark County, OH",39023,2001,White,2106-3,1537,128623,1195,1012.5
"Clark County, OH",39023,2002,Black or African American,2054-5,148,13722,1078.6,1139.8
"Clark County, OH",39023,2002,White,2106-3,1461,128014,1141.3,961.6
"Clark County, OH",39023,2003,Black or African American,2054-5,172,13689,1256.5,1370.3
"Clark County, OH",39023,2003,White,2106-3,1528,126524,1207.7,1015.4
"Clark County, OH",39023,2004,Black or African American,2054-5,144,13656,1054.5,1134.5
"Clark County, OH",39023,2004,White,2106-3,1437,126167,1139,945.2
"Clark County, OH",39023,2005,Black or African American,2054-5,156,13749,1134.6,1206.3
"Clark County, OH",39023,2005,White,2106-3,1492,126064,1183.5,960.4
"Clark County, OH",39023,2006,Black or African American,2054-5,147,13820,1063.7,1105.3
"Clark County, OH",39023,2006,White,2106-3,1370,125239,1093.9,883.5
"Clark County, OH",39023,2007,Black or African American,2054-5,158,13844,1141.3,1160.7
"Clark County, OH",39023,2007,White,2106-3,1483,124403,1192.1,943.4
"Clark County, OH",39023,2008,Black or African American,2054-5,128,13845,924.5,956
"Clark County, OH",39023,2008,White,2106-3,1451,123937,1170.8,907.8
"Clark County, OH",39023,2009,Black or African American,2054-5,122,13867,879.8,906.7
"Clark County, OH",39023,2009,White,2106-3,1469,123261,1191.8,918.2
"Clark County, OH",39023,2010,Black or African American,2054-5,157,13824,1135.7,1199.9
"Clark County, OH",39023,2010,White,2106-3,1451,122865,1181,901.5
"Clermont County, OH",39025,2000,White,2106-3,1298,174366,744.4,966.2
"Clermont County, OH",39025,2001,Black or African American,2054-5,15,2162,693.8 (Unreliable),1267.8 (Unreliable)
"Clermont County, OH",39025,2001,White,2106-3,1249,175745,710.7,900.8
"Clermont County, OH",39025,2002,Black or African American,2054-5,14,2319,603.7 (Unreliable),935.8 (Unreliable)
"Clermont County, OH",39025,2002,White,2106-3,1303,177726,733.2,920.7
"Clermont County, OH",39025,2003,White,2106-3,1337,179762,743.8,913.7
"Clermont County, OH",39025,2004,Black or African American,2054-5,16,2590,617.8 (Unreliable),1027.4 (Unreliable)
"Clermont County, OH",39025,2004,White,2106-3,1259,182290,690.7,809
"Clermont County, OH",39025,2005,Black or African American,2054-5,11,2701,407.3 (Unreliable),878.0 (Unreliable)
"Clermont County, OH",39025,2005,White,2106-3,1427,184310,774.2,901.2
"Clermont County, OH",39025,2006,Black or African American,2054-5,14,2819,496.6 (Unreliable),849.7 (Unreliable)
"Clermont County, OH",39025,2006,White,2106-3,1311,186857,701.6,794.6
"Clermont County, OH",39025,2007,Black or African American,2054-5,11,2865,383.9 (Unreliable),602.2 (Unreliable)
"Clermont County, OH",39025,2007,White,2106-3,1343,188932,710.8,780.6
"Clermont County, OH",39025,2008,Black or African American,2054-5,11,2902,379.0 (Unreliable),537.8 (Unreliable)
"Clermont County, OH",39025,2008,White,2106-3,1504,190322,790.2,857.3
